models/coha/coha_1920/sgns_rand_pinit1/sgns_rand_pinit1,models/coha/coha_1920/sgns_rand_pinit2/sgns_rand_pinit2,models/coha/coha_1920/sgns_rand_pinit3/sgns_rand_pinit3
racial,racial,racial
religious,nationalism,nationalism
nationalism,tendencies,tendencies
tendencies,social,religious
political,religious,moral
moral,race,social
consciousness,traits,peoples
peoples,moral,biological
aesthetic,nationalist,economic
economic,biological,political
fundamental,subjective,traits
race,liberalism,subjective
prejudice,economic,ethical
physiological,similarity,prejudice
heritage,spiritual,liberalism
differences,tribal,countries
human,substances,geographical
social,element,race
nationalist,specific,tribal
biological,ethical,differences
types,mathematical,constitutional
element,basic,similarity
ethical,peoples,responses
subjective,political,inflation
outstanding,complex,distinct
