words,cosines,gold,pred-logistic_regression-default-loo,pred-nearest_neighbors-100-loo,pred-nearest_neighbors-1000-loo,pred-nearest_neighbors-200-loo,pred-nearest_neighbors-300-loo,pred-nearest_neighbors-400-loo,pred-nearest_neighbors-500-loo,pred-nearest_neighbors-600-loo,pred-nearest_neighbors-700-loo,pred-nearest_neighbors-800-loo,pred-nearest_neighbors-900-loo,pred-neural_net_classification-default-shuff-2018-07-18-12:20:49-001721-loo,pred-neural_net_classification-default-shuff-2018-07-18-13:33:48-957609-loo
apricot,0.7308786106470411,1,1,1,1,1,1,1,1,1,1,1,1,1,1
melon,0.722363823490977,1,0,1,1,1,1,1,1,1,1,1,1,1,1
rhubarb,0.7076705418232891,0,1,1,1,1,1,1,1,1,1,1,1,1,1
lemon,0.6794600860626681,1,1,0,1,0,0,0,0,0,1,1,1,1,1
asparagus,0.6668279701937987,0,0,0,1,1,1,1,1,1,1,1,1,0,0
watermelon,0.6547171936304186,0,1,0,1,0,0,1,1,1,1,1,1,1,1
cabbage,0.6490469315080964,0,0,0,1,0,0,0,1,1,1,1,1,0,0
celery,0.6460487628900276,0,0,0,1,0,0,0,0,1,1,1,1,0,0
dandelion,0.6402786027237544,1,0,0,0,0,0,0,0,0,0,0,0,0,0
grapefruit,0.6367057366668865,1,0,0,0,0,0,0,0,0,0,0,0,0,0
avocado,0.6361311683692134,0,1,0,1,0,0,0,0,0,0,0,1,1,1
marigold,0.6256744979264308,1,1,0,0,0,0,0,0,0,0,0,0,1,1
banana,0.624577023645097,1,0,0,0,0,0,0,0,0,0,0,0,0,0
broccoli,0.6058426569699835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daffodil,0.5993880310335529,1,0,0,0,0,0,0,0,0,0,0,0,1,1
lettuce,0.5938905577070748,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chocolate,0.5892601924264702,0,1,0,0,0,0,0,0,0,0,0,0,1,1
daisy,0.5806275879441019,1,1,0,0,0,0,0,0,0,0,0,0,1,1
leek,0.5675944052298312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buttercup,0.5667020382737283,1,0,0,0,0,0,0,0,0,0,0,0,1,1
cider,0.5662060193592091,1,1,0,0,0,0,0,0,0,0,0,0,1,1
cheese,0.5612671778728526,1,0,0,0,0,0,0,0,0,0,0,0,0,0
peas,0.560192719039973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olive,0.5553748238323397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lemonade,0.5549845677265194,1,1,0,0,0,0,0,0,0,0,0,0,1,1
coconut,0.54824080792651,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ketchup,0.5168713962382538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spinach,0.5143219317869125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yoghurt,0.5140067976247803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beer,0.4931769721817954,1,0,0,0,0,0,0,0,0,0,0,0,1,1
corn,0.48805404196195556,1,0,0,0,0,0,0,0,0,0,0,0,0,0
prawn,0.48261725167125546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coffee,0.4797575979392804,0,0,0,0,0,0,0,0,0,0,0,0,1,0
shrimp,0.4775636880504055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lamb,0.47447883610693176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bacon,0.4710846646286738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pine,0.46122012840016297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
milk,0.4534036837331121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chestnut,0.4478946040503329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skunk,0.44760502316243084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flour,0.44380284114806123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
budgie,0.44111608584080486,1,0,0,0,0,0,0,0,0,0,0,0,0,0
butter,0.42776997717477794,1,0,0,0,0,0,0,0,0,0,0,0,0,0
champagne,0.4266793757737411,1,1,0,0,0,0,0,0,0,0,0,0,1,1
pig,0.4212237390002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ham,0.41646554429214533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plum,0.4144380377665661,1,0,0,0,0,0,0,0,0,0,0,0,0,1
squirrel,0.40532217790811476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cigar,0.39000877239375265,0,1,0,0,0,0,0,0,0,0,0,0,1,1
hedgehog,0.38703520098983996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heron,0.3852345723342886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fir,0.3736291445658182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magpie,0.36626166065632537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sandpaper,0.3656262588911028,1,0,0,0,0,0,0,0,0,0,0,0,1,0
salmon,0.36020729260957973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buzzard,0.360045507515106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buffalo,0.3516311372455002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swan,0.3439988520656244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ox,0.34081703517671713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chipmunk,0.3386354406643107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pelican,0.338341318083766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seagull,0.3351505089296774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cow,0.3347923400642038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canary,0.3347464635241883,1,0,0,0,0,0,0,0,0,0,0,0,0,1
zebra,0.32490381594499884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penguin,0.3168640767124876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otter,0.3168621816948123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
porcupine,0.3166731089327318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sheep,0.3161151572455406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fox,0.30897462054322494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beaver,0.3020801442540667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cod,0.3011649582356598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lips,0.29688958319192527,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tongue,0.2957641058163043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raven,0.2942053696483936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moose,0.281779894374242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raccoon,0.2809366876698898,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platypus,0.28072315447227225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rose,0.2782697591400667,1,1,0,0,0,0,0,0,0,0,0,0,1,1
kangaroo,0.2745057564884752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxi,0.2741889870093963,1,1,0,0,0,0,0,0,0,0,0,0,1,1
deer,0.26944850848615093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhino,0.26101749837874677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calf,0.23514854895140577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bat,0.22779776362180948,0,0,0,0,0,0,0,0,0,0,0,0,0,1
crane,0.22726270673577417,1,0,0,0,0,0,0,0,0,0,0,0,0,0
