words,cosines,gold,pred-logistic_regression-default-loo,pred-nearest_neighbors-100-loo,pred-nearest_neighbors-1000-loo,pred-nearest_neighbors-200-loo,pred-nearest_neighbors-300-loo,pred-nearest_neighbors-400-loo,pred-nearest_neighbors-500-loo,pred-nearest_neighbors-600-loo,pred-nearest_neighbors-700-loo,pred-nearest_neighbors-800-loo,pred-nearest_neighbors-900-loo,pred-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868,pred-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647,pred-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309,pred-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390,pred-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo,pred-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo
oil_tanker,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
land_rover,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
rolling_pin,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
axe,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
spirit_level,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
range_rover,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
pyjamas,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
plough,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
stick_insect,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
whisky,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
kitchen_scales,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
aeroplane,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
doughnut,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
cutting_board,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
coffee_pot,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
coffee_machine,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
tyre,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
chest_of_drawers,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
catalogue,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
castenets,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
armour,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
can_opener,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
screwdriver,0.6443060389365456,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
spear,0.6349538307807681,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
arrow,0.6315357537000301,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
harpoon,0.6309917891641853,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1
bayonet,0.6306654304864681,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sword,0.6051077867114248,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
needle,0.6020719194496751,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
knife,0.5995842239925078,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
scissors,0.5990684859268847,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
spoon,0.5981965391017808,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
tweezers,0.5889267830627646,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
corkscrew,0.5731143874808929,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
dagger,0.5635949410312047,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
pencil,0.5633679933527871,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1
scalpel,0.554456409762704,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
penknife,0.5527207491644748,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
trowel,0.5481505807274165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spatula,0.5447795336460884,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
screw,0.5426948438149348,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
chisel,0.5396967746485851,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
sellotape,0.5386104188875609,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
bullet,0.5327203978705044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syringe,0.5287957824647528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pliers,0.522043554039213,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
doorknob,0.516214950641398,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
razor,0.5158272442787147,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
tongs,0.515394383529542,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
peeler,0.5149460038996485,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
broom,0.5124073743085545,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
machete,0.5084675745678012,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
crowbar,0.5066940950258906,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
tripod,0.5012525771296008,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
rope,0.49876938399152404,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pistol,0.49735035285237805,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
stick,0.4959933895786259,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
wand,0.49324341817669426,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shovel,0.48076707592924783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chainsaw,0.48042596069392934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cannon,0.4721636673241736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fork,0.4691606252193975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crossbow,0.4685598261317315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jug,0.4672382606134542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pin,0.46637502793076285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hammer,0.46499328185812006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jar,0.45865608622788234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ladle,0.4562115252802975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scythe,0.45317746910924717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rifle,0.4513288259460162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tray,0.4498184675648209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strainer,0.4492750514174323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hook,0.4469353617236439,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
pen,0.4468028887347535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nail,0.44571408181815636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spade,0.44437260505964016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tongue,0.44307410548908854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bow,0.43939273205670815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bottle,0.4357462353218383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shotgun,0.4354425198882822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scorpion,0.4351762236042224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
satchel,0.4344941694752832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pillow,0.43343228674682327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bucket,0.43297082564872014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glue,0.4327201645109291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sock,0.4322036705960508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
finger,0.42974194181319036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dresser,0.42731071635277196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gun,0.42590697283403384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
