words,cosines,gold,pred-logistic_regression-default-loo,pred-nearest_neighbors-100-loo,pred-nearest_neighbors-1000-loo,pred-nearest_neighbors-200-loo,pred-nearest_neighbors-300-loo,pred-nearest_neighbors-400-loo,pred-nearest_neighbors-500-loo,pred-nearest_neighbors-600-loo,pred-nearest_neighbors-700-loo,pred-nearest_neighbors-800-loo,pred-nearest_neighbors-900-loo,pred-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868,pred-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647,pred-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309,pred-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390,pred-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo,pred-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo
range_rover,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
doughnut,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
spirit_level,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
rolling_pin,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
armour,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
pyjamas,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
axe,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
stick_insect,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
plough,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
oil_tanker,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
land_rover,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
kitchen_scales,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
whisky,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
coffee_pot,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
can_opener,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
castenets,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
catalogue,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
chest_of_drawers,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
coffee_machine,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
aeroplane,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
cutting_board,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
tyre,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
frog,0.7669542543447273,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lizard,0.7627283863199523,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
rabbit,0.7406217970937881,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
toad,0.7348886702955573,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
turtle,0.733334557056081,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0
squirrel,0.7313890619727514,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
otter,0.7299539858551054,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
owl,0.7133696261533566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dragonfly,0.6832724456134973,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
iguana,0.6805204554226665,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
spider,0.6728972772574773,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
dolphin,0.6686835509875927,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
alligator,0.6638749931908455,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
heron,0.662317364920145,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
fox,0.6620620765058116,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
snail,0.6598070986398694,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
squid,0.6556146006194092,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
whale,0.6552684644424807,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
robin,0.6519964106036082,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
seahorse,0.65043913057455,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
crocodile,0.6497850641297768,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
cat,0.6479545066802355,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
tortoise,0.6443110263693246,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
goldfish,0.6335451592940153,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
falcon,0.6332039033184284,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pelican,0.6329110222107539,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
raccoon,0.6315061369312405,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
chipmunk,0.6274945846280247,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0
hummingbird,0.6258742207267975,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
penguin,0.6245960588920088,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eel,0.6230920234771686,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
crab,0.6229516708023406,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
rattlesnake,0.6222723450687753,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0
wasp,0.6169323304706706,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
crayfish,0.6164401227339906,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
monkey,0.615617423451152,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
tarantula,0.6124901547109989,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
jellyfish,0.6123443485869237,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
seagull,0.6108181424860931,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
hedgehog,0.610744340523739,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
beaver,0.6106625846455798,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
buzzard,0.6103408784635229,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
scorpion,0.609304614212347,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
beetle,0.6059623983278991,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
shark,0.605344487044651,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
swan,0.6042904690631992,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
housefly,0.6042263757950802,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
caterpillar,0.6034135710983044,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
rat,0.6022116230451764,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
panther,0.6016798117123693,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
pigeon,0.6011505515808637,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
grasshopper,0.6010229808755796,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
wren,0.6000120129868864,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0
moth,0.5999051785445157,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
sparrow,0.5977924806396007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kingfisher,0.5970846726505944,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
cockroach,0.5953100255020339,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
porcupine,0.5902311754967098,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
trout,0.5881456079046242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
flamingo,0.5880914339558261,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
goose,0.5868747982333149,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
raven,0.5860540504967464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
budgie,0.5825157386501836,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
