,f1,p,r,oov
word2vec_google_news-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo-is_found_in_seas,0.8059701492537314,0.84375,0.7714285714285715,22
word2vec_google_news-nearest_neighbors-900-loo-is_found_in_seas,0.7936507936507937,0.8928571428571429,0.7142857142857143,22
word2vec_google_news-nearest_neighbors-1000-loo-is_found_in_seas,0.7936507936507937,0.8928571428571429,0.7142857142857143,22
word2vec_google_news-logistic_regression-default-loo-is_found_in_seas,0.7931034482758621,1.0,0.6571428571428571,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo-is_found_in_seas,0.7761194029850748,0.8125,0.7428571428571429,22
word2vec_google_news-nearest_neighbors-700-loo-is_found_in_seas,0.7741935483870968,0.8888888888888888,0.6857142857142857,22
word2vec_google_news-nearest_neighbors-800-loo-is_found_in_seas,0.7741935483870968,0.8888888888888888,0.6857142857142857,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309-is_found_in_seas,0.7692307692307692,0.8333333333333334,0.7142857142857143,22
word2vec_google_news-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868-is_found_in_seas,0.7575757575757576,0.8064516129032258,0.7142857142857143,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390-is_found_in_seas,0.7575757575757576,0.8064516129032258,0.7142857142857143,22
word2vec_google_news-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647-is_found_in_seas,0.7462686567164178,0.78125,0.7142857142857143,22
word2vec_google_news-nearest_neighbors-600-loo-is_found_in_seas,0.7457627118644068,0.9166666666666666,0.6285714285714286,22
word2vec_google_news-nearest_neighbors-200-loo-is_found_in_seas,0.7368421052631579,0.9545454545454546,0.6,22
word2vec_google_news-nearest_neighbors-500-loo-is_found_in_seas,0.7241379310344828,0.9130434782608695,0.6,22
word2vec_google_news-nearest_neighbors-300-loo-is_found_in_seas,0.7241379310344828,0.9130434782608695,0.6,22
word2vec_google_news-nearest_neighbors-400-loo-is_found_in_seas,0.7241379310344828,0.9130434782608695,0.6,22
word2vec_google_news-nearest_neighbors-100-loo-is_found_in_seas,0.6274509803921569,1.0,0.45714285714285713,22
