,f1,p,r,oov
word2vec_google_news-nearest_neighbors-100-loo-has_flesh,0.4878048780487805,0.5263157894736842,0.45454545454545453,22
word2vec_google_news-nearest_neighbors-200-loo-has_flesh,0.46808510638297873,0.44,0.5,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo-has_flesh,0.46153846153846156,0.5294117647058824,0.4090909090909091,22
word2vec_google_news-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868-has_flesh,0.46153846153846156,0.5294117647058824,0.4090909090909091,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390-has_flesh,0.46153846153846156,0.5294117647058824,0.4090909090909091,22
word2vec_google_news-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647-has_flesh,0.45,0.5,0.4090909090909091,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309-has_flesh,0.45,0.5,0.4090909090909091,22
word2vec_google_news-nearest_neighbors-300-loo-has_flesh,0.44,0.39285714285714285,0.5,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo-has_flesh,0.43243243243243246,0.5333333333333333,0.36363636363636365,22
word2vec_google_news-nearest_neighbors-400-loo-has_flesh,0.4074074074074074,0.34375,0.5,22
word2vec_google_news-nearest_neighbors-900-loo-has_flesh,0.4,0.3333333333333333,0.5,22
word2vec_google_news-nearest_neighbors-800-loo-has_flesh,0.4,0.3333333333333333,0.5,22
word2vec_google_news-nearest_neighbors-1000-loo-has_flesh,0.4,0.3333333333333333,0.5,22
word2vec_google_news-nearest_neighbors-600-loo-has_flesh,0.4,0.3333333333333333,0.5,22
word2vec_google_news-nearest_neighbors-700-loo-has_flesh,0.4,0.3333333333333333,0.5,22
word2vec_google_news-nearest_neighbors-500-loo-has_flesh,0.4,0.3333333333333333,0.5,22
word2vec_google_news-logistic_regression-default-loo-has_flesh,0.22222222222222218,0.6,0.13636363636363635,22
