,f1,p,r,oov
word2vec_google_news-logistic_regression-default-loo-has_legs,0.6728971962616823,0.7058823529411765,0.6428571428571429,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390-has_legs,0.6727272727272727,0.6851851851851852,0.6607142857142857,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo-has_legs,0.6697247706422018,0.6886792452830188,0.6517857142857143,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309-has_legs,0.669683257918552,0.6788990825688074,0.6607142857142857,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo-has_legs,0.6666666666666667,0.6822429906542056,0.6517857142857143,22
word2vec_google_news-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868-has_legs,0.6606334841628959,0.6697247706422018,0.6517857142857143,22
word2vec_google_news-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647-has_legs,0.6543778801843319,0.6761904761904762,0.6339285714285714,22
word2vec_google_news-nearest_neighbors-1000-loo-has_legs,0.6217616580310881,0.7407407407407407,0.5357142857142857,22
word2vec_google_news-nearest_neighbors-800-loo-has_legs,0.6,0.7307692307692307,0.5089285714285714,22
word2vec_google_news-nearest_neighbors-900-loo-has_legs,0.6,0.7307692307692307,0.5089285714285714,22
word2vec_google_news-nearest_neighbors-700-loo-has_legs,0.5729729729729729,0.726027397260274,0.4732142857142857,22
word2vec_google_news-nearest_neighbors-600-loo-has_legs,0.5423728813559321,0.7384615384615385,0.42857142857142855,22
word2vec_google_news-nearest_neighbors-500-loo-has_legs,0.5058823529411764,0.7413793103448276,0.38392857142857145,22
word2vec_google_news-nearest_neighbors-400-loo-has_legs,0.4691358024691359,0.76,0.3392857142857143,22
word2vec_google_news-nearest_neighbors-300-loo-has_legs,0.41558441558441556,0.7619047619047619,0.2857142857142857,22
word2vec_google_news-nearest_neighbors-200-loo-has_legs,0.35211267605633806,0.8333333333333334,0.22321428571428573,22
word2vec_google_news-nearest_neighbors-100-loo-has_legs,0.24060150375939848,0.7619047619047619,0.14285714285714285,22
