,f1,p,r,oov
word2vec_google_news-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo-is_brown,0.34328358208955223,0.35384615384615387,0.3333333333333333,22
word2vec_google_news-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647-is_brown,0.3308270676691729,0.34375,0.3188405797101449,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo-is_brown,0.32520325203252026,0.37037037037037035,0.2898550724637681,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309-is_brown,0.31343283582089554,0.3230769230769231,0.30434782608695654,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390-is_brown,0.31250000000000006,0.3389830508474576,0.2898550724637681,22
word2vec_google_news-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868-is_brown,0.31007751937984496,0.3333333333333333,0.2898550724637681,22
word2vec_google_news-logistic_regression-default-loo-is_brown,0.21782178217821777,0.34375,0.15942028985507245,22
word2vec_google_news-nearest_neighbors-600-loo-is_brown,0.13333333333333333,0.2857142857142857,0.08695652173913043,22
word2vec_google_news-nearest_neighbors-700-loo-is_brown,0.13043478260869565,0.2608695652173913,0.08695652173913043,22
word2vec_google_news-nearest_neighbors-800-loo-is_brown,0.125,0.2222222222222222,0.08695652173913043,22
word2vec_google_news-nearest_neighbors-900-loo-is_brown,0.12371134020618556,0.21428571428571427,0.08695652173913043,22
word2vec_google_news-nearest_neighbors-1000-loo-is_brown,0.1176470588235294,0.18181818181818182,0.08695652173913043,22
word2vec_google_news-nearest_neighbors-500-loo-is_brown,0.07058823529411765,0.1875,0.043478260869565216,22
word2vec_google_news-nearest_neighbors-400-loo-is_brown,0.048192771084337345,0.14285714285714285,0.028985507246376812,22
word2vec_google_news-nearest_neighbors-100-loo-is_brown,0.027027027027027025,0.2,0.014492753623188406,22
word2vec_google_news-nearest_neighbors-200-loo-is_brown,0.02564102564102564,0.1111111111111111,0.014492753623188406,22
word2vec_google_news-nearest_neighbors-300-loo-is_brown,0.02469135802469136,0.08333333333333333,0.014492753623188406,22
