,f1,p,r,oov
word2vec_google_news-nearest_neighbors-200-loo-is_juicy,0.7111111111111111,0.6666666666666666,0.7619047619047619,22
word2vec_google_news-nearest_neighbors-300-loo-is_juicy,0.6808510638297872,0.6153846153846154,0.7619047619047619,22
word2vec_google_news-nearest_neighbors-600-loo-is_juicy,0.6538461538461537,0.5483870967741935,0.8095238095238095,22
word2vec_google_news-nearest_neighbors-400-loo-is_juicy,0.6530612244897959,0.5714285714285714,0.7619047619047619,22
word2vec_google_news-nearest_neighbors-500-loo-is_juicy,0.6530612244897959,0.5714285714285714,0.7619047619047619,22
word2vec_google_news-nearest_neighbors-100-loo-is_juicy,0.6500000000000001,0.6842105263157895,0.6190476190476191,22
word2vec_google_news-nearest_neighbors-700-loo-is_juicy,0.6296296296296297,0.5151515151515151,0.8095238095238095,22
word2vec_google_news-nearest_neighbors-1000-loo-is_juicy,0.6206896551724138,0.4864864864864865,0.8571428571428571,22
word2vec_google_news-nearest_neighbors-800-loo-is_juicy,0.6181818181818182,0.5,0.8095238095238095,22
word2vec_google_news-nearest_neighbors-900-loo-is_juicy,0.5964912280701755,0.4722222222222222,0.8095238095238095,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390-is_juicy,0.5945945945945946,0.6875,0.5238095238095238,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309-is_juicy,0.5555555555555556,0.6666666666666666,0.47619047619047616,22
word2vec_google_news-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647-is_juicy,0.5555555555555556,0.6666666666666666,0.47619047619047616,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo-is_juicy,0.5555555555555556,0.6666666666666666,0.47619047619047616,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo-is_juicy,0.5555555555555556,0.6666666666666666,0.47619047619047616,22
word2vec_google_news-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868-is_juicy,0.5294117647058824,0.6923076923076923,0.42857142857142855,22
word2vec_google_news-logistic_regression-default-loo-is_juicy,0.4848484848484849,0.6666666666666666,0.38095238095238093,22
