,f1,p,r,oov
word2vec_google_news-logistic_regression-default-loo-is_played_does_play,0.9767441860465117,1.0,0.9545454545454546,22
word2vec_google_news-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868-is_played_does_play,0.9767441860465117,1.0,0.9545454545454546,22
word2vec_google_news-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647-is_played_does_play,0.9767441860465117,1.0,0.9545454545454546,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390-is_played_does_play,0.9767441860465117,1.0,0.9545454545454546,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309-is_played_does_play,0.9767441860465117,1.0,0.9545454545454546,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo-is_played_does_play,0.9767441860465117,1.0,0.9545454545454546,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo-is_played_does_play,0.9767441860465117,1.0,0.9545454545454546,22
word2vec_google_news-nearest_neighbors-1000-loo-is_played_does_play,0.9,1.0,0.8181818181818182,22
word2vec_google_news-nearest_neighbors-800-loo-is_played_does_play,0.9,1.0,0.8181818181818182,22
word2vec_google_news-nearest_neighbors-700-loo-is_played_does_play,0.9,1.0,0.8181818181818182,22
word2vec_google_news-nearest_neighbors-900-loo-is_played_does_play,0.9,1.0,0.8181818181818182,22
word2vec_google_news-nearest_neighbors-600-loo-is_played_does_play,0.8717948717948718,1.0,0.7727272727272727,22
word2vec_google_news-nearest_neighbors-300-loo-is_played_does_play,0.8717948717948718,1.0,0.7727272727272727,22
word2vec_google_news-nearest_neighbors-500-loo-is_played_does_play,0.8717948717948718,1.0,0.7727272727272727,22
word2vec_google_news-nearest_neighbors-200-loo-is_played_does_play,0.8717948717948718,1.0,0.7727272727272727,22
word2vec_google_news-nearest_neighbors-400-loo-is_played_does_play,0.8717948717948718,1.0,0.7727272727272727,22
word2vec_google_news-nearest_neighbors-100-loo-is_played_does_play,0.8108108108108109,1.0,0.6818181818181818,22
